url:https://www.shellecomarathon.com
Name,Sum of unique site visitors,Sum of visitors requiring consent,Sum of consented visitors,Sum of newly consented visitors,Calculated value of users who declined consent/took no action,Consent Rate
Norway,44,44,13,3,31,29.55%
Panama,0,0,0,0,0,0
Paraguay,4,4,0,0,4,0.0%
Peru,136,136,66,21,70,48.53%
Philippines,481,481,223,73,258,46.36%
Poland,78,78,29,9,49,37.18%
Portugal,37,37,19,4,18,51.35%
Puerto Rico,0,0,0,0,0,0
Republic of the Congo,0,0,0,0,0,0
Reunion,0,0,0,0,0,0
Romania,7,7,5,2,2,71.43%
Russia,11,11,1,1,10,9.09%
Saint Kitts & Nevis,1,1,0,0,1,0.0%
Saint Lucia,0,0,0,0,0,0
Saint Vincent & Grenadines,0,0,0,0,0,0
Saudi Arabia,46,46,22,6,24,47.83%
Senegal,0,0,0,0,0,0
Serbia,1,1,1,1,0,100.0%
Singapore,0,0,0,0,0,0
Slovakia,5,5,2,1,3,40.0%
Slovenia,2,2,0,0,2,0.0%
South Africa,20,20,1,0,19,5.0%
South Korea,69,69,47,6,22,68.12%
Spain,45,45,14,8,31,31.11%
Sri Lanka,4,4,0,0,4,0.0%
St. Barthelemy,0,0,0,0,0,0
St. Martin,0,0,0,0,0,0
St. Pierre and Miquelon,0,0,0,0,0,0
Suriname,1,1,0,0,1,0.0%
Sweden,22,22,9,8,13,40.91%
Switzerland,32,32,9,4,23,28.12%
Taiwan,4,4,2,1,2,50.0%
Thailand,104,104,72,17,32,69.23%
Trinidad & Tobago,2,2,0,0,2,0.0%
Tunisia,9,9,3,0,6,33.33%
Turkey,334,334,165,36,169,49.4%
Turks & Caicos Islands,0,0,0,0,0,0
Ukraine,8,8,0,0,8,0.0%
United Arab Emirates,11,11,3,3,8,27.27%
United Kingdom,397,397,178,43,219,44.84%
United States,4232,4232,435,146,3797,10.28%
Uruguay,5,5,2,2,3,40.0%
Venezuela,3,3,1,0,2,33.33%
Viet Nam,67,67,38,9,29,56.72%
"Virgin Islands, US",0,0,0,0,0,0
Wallis and Futuna,0,0,0,0,0,0
Total,36593,36593,3750,1034,32843,10.25%
